Temp,IdealTemp
73.22,76
72.14,76
71.6,76
73.94,76
76.64,76
78.62,76
78.98,76
77,76
76.1,76
75.2,76
74.66,76
73.94,76
73.58,76
73.04,76
72.68,76
72.32,76
71.96,76
71.6,76
71.42,76
71.06,76
70.88,76
70.52,76
70.34,76
69.98,76
69.8,76
69.62,76
69.44,76
69.26,76
69.26,76
68.9,76
68.72,76
68.72,76
68.54,76
68.36,76
68.36,76
68.18,76
68,76
67.82,76
67.82,76
67.64,76
67.64,76
67.46,76
67.28,76
67.28,76
67.28,76
67.1,76
66.92,76
66.92,76
66.92,76
66.74,76
66.74,76
66.74,76
66.56,76
66.56,76
66.56,76
66.56,76
66.56,76
66.38,76
66.38,76
66.2,76
66.38,76
66.2,76
66.2,76
66.2,76
66.02,76
