Temp,IdealTemp,Hum,IdealHum
73.22,72.5,87.2,90
73.22,72.5,87.3,90
73.22,72.5,87.8,90
73.22,72.5,88.3,90
73.4,72.5,88.7,90
73.4,72.5,89.2,90
73.4,72.5,89.5,90
73.4,72.5,89.9,90
73.4,72.5,90,90
73.22,72.5,89.7,90
73.22,72.5,88.2,90
73.22,72.5,87.2,90
73.4,72.5,86,90
73.22,72.5,85.6,90
73.4,72.5,85.8,90
73.22,72.5,86.4,90
73.22,72.5,86.8,90
73.22,72.5,87.5,90
73.4,72.5,88,90
73.22,72.5,88.4,90
73.22,72.5,88.8,90
73.4,72.5,89.1,90
73.4,72.5,89.4,90
73.4,72.5,89.6,90
73.22,72.5,90,90
73.4,72.5,90,90
73.4,72.5,88.5,90
73.4,72.5,87.5,90
73.22,72.5,87,90
73.4,72.5,86.7,90
